column,importance
f147,1034.524803161621
f124,616.7948938459158
f110,233.69775009155273
f100,222.11443543434143
f284,130.20468020439148
f25,117.29866993427277
f174,111.23477864637971
f19,99.42959880828857
f168,93.25009363889694
f257,87.14779949188232
f115,76.1692008972168
f48,73.83988070487976
f160,44.402675092220306
f224,41.47772002220154
f208,37.69532006978989
f200,32.85827354155481
Fare,32.71128782629967
f243,30.667431712150574
f292,30.264520287513733
f313,29.845789551734924
f340,29.831369876861572
f154,27.759589314460754
f234,23.993910394608974
f341,23.687217868864536
f320,23.269064620137215
f20,18.46500015258789
f241,17.878725096583366
f81,16.801430225372314
f27,16.627099990844727
f219,14.871905267238617
f225,13.680609703063965
f346,13.132699012756348
f336,11.965371191501617
f49,11.779199600219727
f130,9.095164954662323
family,8.48484992980957
title,8.167412359267473
f16,7.564775228500366
f98,6.714345263317227
f211,6.563778817653656
f166,6.21330988407135
f150,5.285323143005371
f305,4.302114009857178
f138,3.4843599796295166
f80,3.2235829830169678
f186,2.8157598972320557
f156,2.7595774456858635
f12,2.574739933013916
f235,1.9936699867248535
f182,1.9117330014705658
f351,1.659500002861023
Embarked,1.2927451450377703
f102,1.1444900035858154
f96,1.0483399629592896
f69,0.6794149875640869
f249,0.6644709706306458
f223,0.6274909973144531
f87,0.5966699719429016
Age,0.5696756150573492
f335,0.5238869786262512
f140,0.37929800152778625
f162,0.0
f255,0.0
f256,0.0
f18,0.0
f319,0.0
f318,0.0
Sex,0.0
parch_sibsp_ratio,0.0
f163,0.0
f13,0.0
f86,0.0
f83,0.0
f17,0.0
f14,0.0
f143,0.0
f142,0.0
f2,0.0
f161,0.0
f146,0.0
f11,0.0
f315,0.0
f253,0.0
f167,0.0
f151,0.0
f152,0.0
f153,0.0
f164,0.0
CN,0.0
CL,0.0
f158,0.0
f159,0.0
f258,0.0
f281,0.0
f92,0.0
f93,0.0
f90,0.0
f91,0.0
f94,0.0
f248,0.0
f205,0.0
f99,0.0
f190,0.0
f238,0.0
f82,0.0
f312,0.0
f165,0.0
f6,0.0
f316,0.0
f317,0.0
f314,0.0
f311,0.0
f291,0.0
f7,0.0
f8,0.0
f187,0.0
f55,0.0
f178,0.0
f299,0.0
f175,0.0
f172,0.0
f220,0.0
f171,0.0
f271,0.0
f270,0.0
f273,0.0
f272,0.0
f274,0.0
f277,0.0
f276,0.0
f279,0.0
f278,0.0
f356,0.0
f56,0.0
f73,0.0
f180,0.0
f78,0.0
f79,0.0
f74,0.0
f75,0.0
f77,0.0
f70,0.0
f71,0.0
f72,0.0
f60,0.0
f61,0.0
f62,0.0
f309,0.0
f338,0.0
Parch,0.0
f266,0.0
f267,0.0
f264,0.0
f265,0.0
f262,0.0
f263,0.0
f260,0.0
f58,0.0
f141,0.0
f269,0.0
f66,0.0
f308,0.0
f63,0.0
f304,0.0
f307,0.0
f157,0.0
f301,0.0
f201,0.0
f109,0.0
f302,0.0
f268,0.0
f68,0.0
f67,0.0
f34,0.0
f65,0.0
f64,0.0
nC,0.0
f321,0.0
f288,0.0
f185,0.0
f47,0.0
f343,0.0
f345,0.0
f344,0.0
f347,0.0
f44,0.0
f107,0.0
f348,0.0
f105,0.0
f104,0.0
f101,0.0
f42,0.0
f222,0.0
f184,0.0
f247,0.0
f183,0.0
f43,0.0
f40,0.0
f46,0.0
f228,0.0
f229,0.0
f189,0.0
f188,0.0
f23,0.0
f213,0.0
f21,0.0
f254,0.0
f204,0.0
f173,0.0
f218,0.0
f116,0.0
f294,0.0
f194,0.0
f195,0.0
f215,0.0
Pclass,0.0
f352,0.0
f354,0.0
f355,0.0
f118,0.0
f119,0.0
f350,0.0
f114,0.0
f144,0.0
f295,0.0
f202,0.0
f298,0.0
f111,0.0
f112,0.0
f191,0.0
f217,0.0
f57,0.0
f196,0.0
f197,0.0
f52,0.0
f53,0.0
f192,0.0
f51,0.0
f193,0.0
f198,0.0
f26,0.0
f24,0.0
f289,0.0
f287,0.0
f123,0.0
f38,0.0
f39,0.0
f242,0.0
f285,0.0
f127,0.0
f126,0.0
f120,0.0
f306,0.0
f244,0.0
f129,0.0
f128,0.0
f245,0.0
f290,0.0
f41,0.0
f3,0.0
f246,0.0
f133,0.0
f4,0.0
SibSp,0.0
f328,0.0
f296,0.0
f324,0.0
f89,0.0
f145,0.0
f113,0.0
f117,0.0
f240,0.0
f36,0.0
f33,0.0
f29,0.0
f214,0.0
f293,0.0
f327,0.0
f206,0.0
f329,0.0
f139,0.0
sexpclass,0.0
f132,0.0
f323,0.0
f280,0.0
f131,0.0
f137,0.0
f134,0.0
f135,0.0
f337,0.0
f32,0.0
f239,0.0
f331,0.0
f332,0.0
f333,0.0
f286,0.0
f237,0.0
f203,0.0
f231,0.0
f230,0.0
f233,0.0
f232,0.0
f30,0.0
f85,0.0
f353,0.0
